index,date,agg_stress,agg_Unemployment,agg_Loneliness,agg_Anxiety
132,2020-07-28,33.64,10.64,0.12,20.5
133,2020-07-29,24.36,22.4,0.12,6.97
134,2020-07-30,29.0,22.4,0.12,14.35
135,2020-07-31,22.62,0.56,0.12,22.14
136,2020-08-01,20.88,12.32,0.12,8.2
137,2020-08-02,20.9,0.28,0.38,20.28
138,2020-08-03,29.7,0.28,0.38,8.84
139,2020-08-04,24.75,0.28,0.38,17.68
140,2020-08-05,30.8,0.28,0.38,8.84
141,2020-08-06,29.15,0.28,0.38,28.08
142,2020-08-07,27.5,5.88,14.44,18.72
143,2020-08-08,23.1,19.32,0.38,20.8
144,2020-08-09,21.6,25.2,10.25,0.77
145,2020-08-10,19.98,21.84,0.25,13.09
146,2020-08-11,22.68,11.2,17.75,39.27
147,2020-08-12,18.36,0.56,17.5,25.41
148,2020-08-13,21.6,0.56,0.25,39.27
149,2020-08-14,23.22,0.56,9.0,40.04
150,2020-08-15,18.9,0.56,0.25,0.77
151,2020-08-16,28.8,0.63,0.13,0.62
152,2020-08-17,35.2,24.57,4.68,0.62
153,2020-08-18,37.76,11.97,0.13,0.62
154,2020-08-19,24.96,23.94,0.13,10.54
155,2020-08-20,40.32,12.6,4.81,0.62
156,2020-08-21,33.28,25.2,0.13,11.16
157,2020-08-22,35.84,13.86,0.13,24.18
158,2020-08-23,35.7,0.14,0.12,17.1
159,2020-08-24,46.9,2.66,4.2,45.0
160,2020-08-25,47.6,2.66,0.12,29.7
161,2020-08-26,49.0,2.66,0.12,45.9
162,2020-08-27,38.5,2.66,0.12,15.3
163,2020-08-28,36.4,0.14,0.12,45.0
164,2020-08-29,41.3,0.14,4.56,0.9
165,2020-08-30,42.4,13.94,4.44,62.3
166,2020-08-31,43.2,0.34,0.12,23.1
167,2020-09-01,64.8,12.92,4.2,46.9
168,2020-09-02,51.2,6.46,0.12,23.1
169,2020-09-03,63.2,6.46,0.12,11.9
170,2020-09-04,43.2,0.34,0.12,11.9
171,2020-09-05,50.4,0.34,0.12,38.5
172,2020-09-06,44.8,9.87,9.12,34.02
173,2020-09-07,52.0,17.39,8.16,20.16
174,2020-09-08,68.8,17.39,0.24,10.08
175,2020-09-09,64.0,0.47,0.24,0.63
176,2020-09-10,44.0,25.85,0.24,20.16
177,2020-09-11,54.4,8.93,8.4,10.71
178,2020-09-12,32.8,0.47,0.24,11.97
179,2020-09-13,54.51,6.93,17.86,14.04
180,2020-09-14,30.81,0.33,0.47,0.39
181,2020-09-15,45.82,5.94,15.51,0.39
182,2020-09-16,52.93,11.88,15.51,6.24
183,2020-09-17,35.55,12.21,0.47,12.87
184,2020-09-18,42.66,12.54,0.47,6.63
185,2020-09-19,48.19,0.33,34.78,0.39
186,2020-09-20,41.8,0.4,16.92,10.71
187,2020-09-21,45.6,7.2,0.47,9.45
188,2020-09-22,56.24,7.2,0.47,20.16
189,2020-09-23,44.84,0.4,0.47,39.06
190,2020-09-24,53.96,7.2,47.0,30.24
191,2020-09-25,42.56,8.0,0.47,0.63
192,2020-09-26,33.44,0.4,36.66,23.94
193,2020-09-27,37.63,0.34,0.01,16.2
194,2020-09-28,58.22,6.46,0.01,14.85
195,2020-09-29,41.18,0.34,0.7,15.3
196,2020-09-30,41.89,6.46,0.01,0.45
197,2020-10-01,49.7,17.68,0.01,7.2
198,2020-10-02,44.02,8.84,0.01,0.45
199,2020-10-03,39.05,9.52,0.49,15.75
200,2020-10-04,55.44,0.21,23.03,11.22
201,2020-10-05,36.96,21.0,21.07,20.46
202,2020-10-06,50.82,5.25,0.49,31.02
203,2020-10-07,45.43,0.21,21.56,0.66
204,2020-10-08,54.67,0.21,0.49,21.78
205,2020-10-09,42.35,0.21,0.49,11.88
206,2020-10-10,61.6,0.21,26.46,12.54
207,2020-10-11,46.15,0.51,51.0,10.44
208,2020-10-12,41.89,0.51,23.97,38.86
209,2020-10-13,44.02,13.77,0.51,9.86
210,2020-10-14,34.08,0.51,0.51,9.28
211,2020-10-15,49.7,13.77,24.48,9.86
212,2020-10-16,54.67,14.79,0.51,41.76
213,2020-10-17,54.67,31.62,0.51,33.64
214,2020-10-18,53.28,7.04,7.15,14.43
215,2020-10-19,49.58,0.22,0.13,12.95
216,2020-10-20,50.32,0.22,0.13,18.5
217,2020-10-21,28.12,5.94,0.13,12.58
218,2020-10-22,49.58,0.22,0.13,12.58
219,2020-10-23,53.28,0.22,0.13,6.29
220,2020-10-24,34.78,0.22,0.13,20.72
221,2020-10-25,22.08,0.6,0.12,0.29
222,2020-10-26,46.23,0.6,0.12,9.57
223,2020-10-27,45.54,0.6,5.52,0.29
224,2020-10-28,49.68,48.0,0.12,9.57
225,2020-10-29,36.57,46.8,0.12,13.92
226,2020-10-30,38.64,29.4,5.04,0.29
227,2020-10-31,40.71,0.6,5.4,0.29
228,2020-11-01,62.05,11.44,14.85,49.92
229,2020-11-02,46.72,11.0,0.33,11.7
230,2020-11-03,41.61,0.44,0.33,35.88
231,2020-11-04,43.07,10.12,12.87,55.38
