date,daily_case_count,daily_death_count
2020-10-19,18804,193
2020-10-20,21331,210
2020-10-21,26688,232
2020-10-22,21242,241
2020-10-23,20530,225
2020-10-24,23012,219
2020-10-25,19790,255
2020-10-26,20890,282
2020-10-27,22885,285
2020-10-28,24701,281
2020-10-29,23065,317
2020-10-30,24405,350
2020-10-31,21915,340
2020-11-01,23254,359
2020-11-02,18950,337
2020-11-03,20018,376
2020-11-04,25177,340
2020-11-05,24141,388
2020-11-06,23287,417
2020-11-07,24957,416
2020-11-08,20572,431
2020-11-09,21350,487
2020-11-10,20412,409
2020-11-11,22950,408
2020-11-12,33470,429
2020-11-13,27301,448
2020-11-14,26860,458
2020-11-15,24962,455
2020-11-16,21363,430
2020-11-17,20051,464
2020-11-18,19609,512
2020-11-19,22915,483
2020-11-20,20252,481
2020-11-21,19875,497
2020-11-22,18662,512
2020-11-23,15450,505
2020-11-24,11299,496
2020-11-25,18213,499
2020-11-26,17555,459
2020-11-27,16022,457
2020-11-28,15871,485
2020-11-29,12155,501
2020-11-30,12330,464
2020-12-01,13430,423
2020-12-02,16170,410
2020-12-03,14879,503
2020-12-04,16298,499
2020-12-05,15539,406
2020-12-06,17272,435
2020-12-07,14718,465
2020-12-08,12282,468
2020-12-09,16578,447
2020-12-10,20964,495
2020-12-11,21672,491
2020-12-12,21502,486
2020-12-13,18447,479
2020-12-14,20263,503
2020-12-15,18450,507
2020-12-16,25161,482
2020-12-17,35383,566
2020-12-18,28507,585
2020-12-19,27052,546
2020-12-20,35928,547
2020-12-21,33364,599
2020-12-22,36804,625
2020-12-23,39237,625
2020-12-24,39877,614
2020-12-25,32725,652
2020-12-26,35691,689
2020-12-27,30501,714
2020-12-28,41385,719
2020-12-29,53135,710
2020-12-30,50023,757
2020-12-31,55892,818
2021-01-01,53285,809
2021-01-02,57725,826
2021-01-03,54990,798
2021-01-04,58784,887
2021-01-05,60916,957
2021-01-06,62322,1001
2021-01-07,52618,1044
2021-01-08,68053,1040
2021-01-09,59937,1082
2021-01-10,54940,1151
2021-01-11,46169,1229
2021-01-12,45533,1297
2021-01-13,47525,1292
2021-01-14,48682,1325
2021-01-15,55761,1311
2021-01-16,41346,1400
2021-01-17,38598,1339
2021-01-18,37535,1387
2021-01-19,33355,1477
2021-01-20,38905,1369
2021-01-21,37892,1329
2021-01-22,40261,1316
2021-01-23,33552,1269
2021-01-24,30004,1225
2021-01-25,22195,1244
2021-01-26,20089,1151
2021-01-27,25308,1212
2021-01-28,28680,1214
2021-01-29,29079,1142
2021-01-30,23275,1013
2021-01-31,21088,984
2021-02-01,18607,993
2021-02-02,16840,948
2021-02-03,19202,961
2021-02-04,20634,816
2021-02-05,19114,863
2021-02-06,18262,774
2021-02-07,15845,742
2021-02-08,14104,771
2021-02-09,12364,711
2021-02-10,13013,698
2021-02-11,13494,655
2021-02-12,15144,621
2021-02-13,13308,575
2021-02-14,10972,589
2021-02-15,9765,602
2021-02-16,10625,555
2021-02-17,12718,498
2021-02-18,12057,511
2021-02-19,12027,459
2021-02-20,10406,442
2021-02-21,9834,404
2021-02-22,10641,366
2021-02-23,8489,371
2021-02-24,9938,354
2021-02-25,9985,340
2021-02-26,8523,295
2021-02-27,7434,299
2021-02-28,6035,271
2021-03-01,5455,287
2021-03-02,6391,237
2021-03-03,6385,209
2021-03-04,6573,229
2021-03-05,5947,214
2021-03-06,6040,204
2021-03-07,5177,194
2021-03-08,4712,190
2021-03-09,5766,184
2021-03-10,5926,153
2021-03-11,6753,161
2021-03-12,6609,131
2021-03-13,5534,130
2021-03-14,4618,130
2021-03-15,5089,134
2021-03-16,5294,111
2021-03-17,5758,121
2021-03-18,6303,96
2021-03-19,4802,97
2021-03-20,5587,97
2021-03-21,5312,123
2021-03-22,5342,100
2021-03-23,5379,89
2021-03-24,5605,68
2021-03-25,6397,74
2021-03-26,6187,72
2021-03-27,4715,62
2021-03-28,3862,47
2021-03-29,4654,67
2021-03-30,4040,54
2021-03-31,4052,73
2021-04-01,4479,59
2021-04-02,3402,49
2021-04-03,3423,38
2021-04-04,2297,47
2021-04-05,2762,42
2021-04-06,2379,44
2021-04-07,2763,42
2021-04-08,3030,54
2021-04-09,3150,34
2021-04-10,2589,37
2021-04-11,1730,37
2021-04-12,3568,32
2021-04-13,2472,41
2021-04-14,2491,31
2021-04-15,2672,31
